CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
-81,-92,-77,-89,-77,-85,-74,-95,A00
-80,-87,-79,-93,-88,-83,-76,-92,A00
-81,-92,-77,-93,-78,-84,-76,-94,A00
-79,-92,-80,-91,-77,-83,-74,-93,A00
-80,-91,-79,-93,-79,-83,-76,-96,A00
-80,-94,-77,-95,-79,-85,-77,-93,A00
-78,-91,-80,-94,-79,-84,-79,-93,A00
-79,-93,-74,-93,-81,-82,-73,-92,A00
-77,-90,-74,-94,-74,-85,-76,-95,A00
-79,-93,-72,-93,-77,-83,-79,-94,A00
-78,-91,-72,-95,-75,-84,-80,-93,A00
-79,-92,-74,-94,-75,-85,-77,-94,A00
-77,-92,-74,-91,-75,-84,-79,-92,A00
-78,-91,-78,-93,-77,-85,-77,-92,A00
-80,-90,-76,-96,-78,-82,-77,-96,A00
-81,-96,-86,-95,-82,-83,-78,0,A00
-81,-86,-81,-95,-73,-84,-74,0,A00
-81,-89,-90,-94,-71,-88,-71,0,A00
-82,-88,-78,-94,-76,-88,-72,0,A00
-83,-90,-74,-92,-75,-82,-72,0,A00
-83,-90,-76,-91,-77,-86,-70,0,A00
-81,-96,-76,-90,-76,-80,-71,0,A00
-82,-92,-74,-94,-79,-86,-75,0,A00
-80,-91,-70,-95,-75,-81,-75,0,A00
-81,-91,-72,-94,-76,-85,-76,0,A00
-76,-94,-73,-94,-77,-89,-78,0,A00
-72,-94,-70,-93,-84,-83,-85,0,A00
-77,-92,-75,0,-79,-84,-82,0,A00
-82,-91,-76,0,-77,-79,-86,0,A00
-81,-95,-78,0,-74,-85,-82,0,A00
-81,-92,-72,0,-74,-83,-75,0,A00
-81,0,-74,0,-75,-81,-76,0,A00
-80,0,-74,0,-73,-81,-76,0,A00
-87,0,-76,0,-77,-83,-81,0,A00
-80,0,-76,0,-76,-85,-81,0,A00
-79,-86,-70,-89,-77,-78,-69,-88,A01
-79,-83,-72,-91,-77,-78,-70,-87,A01
-79,-91,-71,-88,-78,-79,-69,-88,A01
-79,-87,-72,-90,-77,-79,-70,-89,A01
-80,-87,-71,-91,-84,-79,-71,-89,A01
-79,-83,-70,-92,-79,-79,-68,-87,A01
-76,-87,-76,-91,-78,-79,-71,-88,A01
-81,-86,-74,-95,-77,-76,-69,-87,A01
-82,-85,-74,-93,-77,-79,-70,-89,A01
-79,-89,-72,-90,-81,-79,-68,-89,A01
-78,-87,-69,-90,-83,-78,-68,-88,A01
-77,-88,-72,-91,-81,-82,-69,-88,A01
-78,-86,-73,-88,-82,-77,-69,-88,A01
-78,-86,-72,-91,-81,-78,-71,-87,A01
-80,-88,-71,-91,-81,-78,-68,-88,A01
-80,-90,-74,-90,-82,-76,-71,-87,A01
-81,-87,-74,-91,-83,-76,-72,-89,A01
-80,-88,-74,-91,-84,-79,-71,-89,A01
-78,-93,-72,-89,-77,-79,-69,-86,A01
-77,-87,-70,-92,-75,-80,-68,-87,A01
-80,-88,-70,-91,-78,-83,-68,-88,A01
-79,-91,-71,-92,-76,-81,-69,-86,A01
-79,-86,-70,-93,-73,-78,-70,-88,A01
-77,-90,-72,-90,-78,-81,-70,-90,A01
-80,-89,-70,-90,-76,-81,-67,-87,A01
-77,-88,-68,-90,-76,-81,-68,-89,A01
-78,-89,-72,-91,-79,-81,-69,-89,A01
-79,-90,-71,-91,-78,-81,-68,-88,A01
-80,-88,-74,-91,-85,-87,-67,-90,A01
-80,-89,-72,-90,-79,-77,-69,-90,A01
-75,-86,-65,-90,-74,-87,-72,-92,A02
-76,-83,-65,-89,-71,-87,-71,-94,A02
-74,-83,-66,-87,-73,-91,-72,-93,A02
-77,-86,-65,-89,-72,-91,-71,-94,A02
-76,-88,-67,-88,-73,-91,-73,-93,A02
-77,-94,-65,-90,-72,-90,-73,-95,A02
-76,-86,-65,-88,-70,-91,-73,-94,A02
-76,-86,-65,-87,-69,-88,-73,-95,A02
-75,-85,-64,-88,-72,-91,-74,-95,A02
-74,-86,-64,-88,-72,-89,-72,-99,A02
-83,-82,-69,-86,-72,-90,-72,0,A02
-73,-83,-66,-88,-70,-88,-72,0,A02
-75,-86,-65,-84,-72,-92,-72,0,A02
-76,-85,-65,-87,-72,-91,-74,0,A02
-74,-84,-65,-88,-72,-90,-72,0,A02
-77,-86,-65,-87,-72,-92,-72,0,A02
-76,-86,-65,-87,-73,-90,-73,0,A02
-76,-84,-64,-90,-72,-91,-72,0,A02
-75,-86,-65,-88,-71,-91,-73,0,A02
-76,-84,-65,-88,-71,-88,-73,0,A02
-75,-88,-65,-90,-69,-89,-72,0,A02
-76,-83,-65,-87,-70,-88,-72,0,A02
-76,-83,-66,-86,-73,-89,-73,0,A02
-77,-84,-64,-88,-71,-91,-72,0,A02
-76,-83,-65,-87,-73,-91,-71,0,A02
-70,-84,-67,-87,-75,-95,-75,0,A02
-77,-83,-65,-87,-72,-83,-75,0,A02
-78,-81,-65,-91,-74,-89,-75,0,A02
-81,-81,-64,-88,-76,-87,-69,0,A02
-77,-90,-68,-93,-86,-89,-72,0,A02
-74,-87,-70,-91,-76,-86,-70,0,A02
-74,-86,-72,-90,-73,-90,-74,0,A02
-75,-86,-61,-95,-66,-69,-65,-95,A03
-72,-82,-62,-89,-64,-70,-69,-90,A03
-72,-84,-60,-90,-65,-74,-69,-92,A03
-70,-86,-69,-86,-70,-79,-67,-91,A03
-69,-78,-66,-85,-66,-77,-75,-90,A03
-71,-81,-67,-85,-68,-75,-74,-91,A03
-73,-89,-69,-85,-66,-74,-72,-89,A03
-71,-81,-61,-95,-67,-76,-64,-87,A03
-69,-90,-63,-91,-63,-80,-66,-91,A03
-79,-86,-60,-82,-70,-84,-68,-86,A03
-81,-81,-71,-87,-76,-72,-75,-90,A03
-72,-84,-73,-83,-70,-88,-76,-93,A03
-72,-86,-73,-88,-69,-81,-74,-91,A03
-71,-86,-73,-87,-69,-81,-70,-92,A03
-71,-84,-73,-85,-70,-82,-73,-93,A03
-69,-82,-71,-86,-66,-83,-70,-92,A03
-70,-82,-75,-87,-70,-78,-72,-90,A03
-74,-86,-72,-86,-65,-81,-72,-97,A03
-71,-84,-72,-86,-66,-81,-71,-92,A03
-74,-87,-72,-85,-75,-84,-71,-93,A03
-73,-86,-73,-86,-80,-83,-68,-93,A03
-73,-80,-72,-86,-78,-81,-68,-95,A03
-73,-83,-76,-86,-78,-81,-69,-95,A03
-75,-88,-74,-85,-79,-82,-68,-95,A03
-71,-88,-72,-84,-73,-83,-69,-92,A03
-73,-83,-77,-85,-82,-82,-72,-91,A03
-75,-87,-76,-84,-84,-80,-70,-94,A03
-77,-88,-73,-82,-80,-79,-73,-93,A03
-76,-85,-77,-84,-74,-80,-73,-90,A03
-74,-84,-72,-85,-74,-78,-77,-95,A03
-73,-85,-69,-85,-76,-82,-80,-94,A03
-75,-84,-69,-84,-74,-83,-72,0,A03
-74,-86,-75,-87,-68,-77,-80,-85,A04
-77,-83,-77,-95,-66,-80,-72,-83,A04
-76,-82,-74,-93,-65,-78,-71,-84,A04
-76,-81,-67,-95,-63,-84,-71,-84,A04
-73,-82,-69,-95,-66,-79,-69,-84,A04
-74,-87,-73,-92,-63,-78,-71,-84,A04
-75,-85,-71,-91,-63,-77,-71,-84,A04
-74,-85,-70,-92,-64,-79,-73,-87,A04
-76,-83,-72,-92,-65,-78,-75,-84,A04
-76,-81,-71,-91,-63,-80,-81,-86,A04
-75,-82,-70,-91,-64,-80,-77,-83,A04
-74,-84,-72,-93,-65,-82,-65,-85,A04
-72,-88,-68,-91,-64,-81,-71,-84,A04
-78,-81,-75,-90,-66,-81,-70,-83,A04
-86,-82,-81,-93,-69,-80,-70,-91,A04
-79,-79,-79,-92,-70,-82,-70,-90,A04
-79,-81,-77,-91,-70,-82,-70,-95,A04
-70,-82,-74,-93,-73,-76,-77,-88,A04
-77,-92,-73,-91,-68,-77,-71,-91,A04
-77,-88,-71,-93,-68,-80,-72,-86,A04
-75,-93,-75,-94,-65,-76,-73,-85,A04
-77,-88,-79,-92,-63,-77,-69,-89,A04
-83,-88,-78,-95,-63,-76,-86,-88,A04
-76,-85,-78,-93,-63,-78,-80,-86,A04
-76,-84,-73,-94,-63,-78,-81,-86,A04
-77,-89,-73,-91,-63,-78,-81,-86,A04
-74,-82,-75,0,-65,-77,-73,-87,A04
-81,-81,-70,0,-67,-77,-68,-86,A04
-77,-83,-72,0,-67,-78,-69,-84,A04
-77,-81,-74,0,-68,-78,-70,-85,A04
-76,-85,-71,0,-68,-79,-70,-85,A04
-76,-80,-75,0,-69,-80,-71,-86,A04
-65,-72,-61,-83,-71,-79,-71,-84,A05
-68,-74,-63,-86,-78,-80,-77,-83,A05
-65,-72,-62,-83,-72,-83,-78,-81,A05
-66,-74,-62,-82,-79,-78,-74,-78,A05
-69,-75,-63,-83,-77,-77,-74,-82,A05
-68,-74,-62,-83,-79,-78,-75,-83,A05
-69,-71,-63,-83,-71,-83,-79,-84,A05
-70,-77,-71,-85,-72,-81,-75,-84,A05
-69,-76,-65,-85,-71,-83,-77,-84,A05
-70,-72,-60,-89,-73,-81,-75,-84,A05
-66,-73,-65,-89,-76,-82,-78,-81,A05
-74,-74,-67,-86,-66,-81,-81,-86,A05
-69,-73,-64,-83,-70,-82,-75,-85,A05
-67,-72,-62,-85,-79,-80,-73,-82,A05
-64,-72,-63,-85,-70,-82,-71,-83,A05
-68,-72,-62,-85,-75,-79,-74,-83,A05
-67,-70,-62,-84,-74,-78,-77,-83,A05
-68,-71,-62,-83,-77,-80,-75,-84,A05
-68,-73,-63,-82,-75,-80,-74,-79,A05
-70,-73,-62,-84,-73,-82,-75,-85,A05
-67,-72,-63,-85,-75,-82,-75,-83,A05
-67,-71,-61,-83,-76,-80,-82,-82,A05
-69,-74,-68,-83,-71,-82,-76,-84,A05
-75,-73,-63,-86,-74,-80,-72,-82,A05
-70,-79,-62,-86,-76,-82,-73,-81,A05
-70,-76,-60,-85,-72,-82,-76,-83,A05
-69,-73,-65,-87,-75,-87,-77,-82,A05
-66,-71,-63,-88,-76,-81,-72,-81,A05
-66,-73,-62,-84,-75,-80,-74,-80,A05
-67,-75,-60,-85,-77,-76,-72,-81,A05
-67,-71,-63,-83,-73,-83,-81,-86,A05
