timestamp,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
213960,-81,-92,-77,-89,-77,-85,-74,-95,A00
213960,-80,-87,-79,-93,-88,-83,-76,-92,A00
219490,-81,-92,-77,-93,-78,-84,-76,-94,A00
229020,-79,-92,-80,-91,-77,-83,-74,-93,A00
229020,-80,-91,-79,-93,-79,-83,-76,-96,A00
234550,-80,-94,-77,-95,-79,-85,-77,-93,A00
243880,-78,-91,-80,-94,-79,-84,-79,-93,A00
249209,-79,-93,-74,-93,-81,-82,-73,-92,A00
254537,-77,-90,-74,-94,-74,-85,-76,-95,A00
254537,-79,-93,-72,-93,-77,-83,-79,-94,A00
259868,-78,-91,-72,-95,-75,-84,-80,-93,A00
269197,-79,-92,-74,-94,-75,-85,-77,-94,A00
274524,-77,-92,-74,-91,-75,-84,-79,-92,A00
280053,-78,-91,-78,-93,-77,-85,-77,-92,A00
280053,-80,-90,-76,-96,-78,-82,-77,-96,A00
285382,-81,-96,-86,-95,-82,-83,-78,0,A00
294911,-81,-86,-81,-95,-73,-84,-74,0,A00
294911,-81,-89,-90,-94,-71,-88,-71,0,A00
300241,-82,-88,-78,-94,-76,-88,-72,0,A00
309568,-83,-90,-74,-92,-75,-82,-72,0,A00
314898,-83,-90,-76,-91,-77,-86,-70,0,A00
314898,-81,-96,-76,-90,-76,-80,-71,0,A00
320427,-82,-92,-74,-94,-79,-86,-75,0,A00
329756,-80,-91,-70,-95,-75,-81,-75,0,A00
335285,-81,-91,-72,-94,-76,-85,-76,0,A00
340613,-76,-94,-73,-94,-77,-89,-78,0,A00
340613,-72,-94,-70,-93,-84,-83,-85,0,A00
346143,-77,-92,-75,0,-79,-84,-82,0,A00
355675,-82,-91,-76,0,-77,-79,-86,0,A00
355675,-81,-95,-78,0,-74,-85,-82,0,A00
361207,-81,-92,-72,0,-74,-83,-75,0,A00
370536,-81,0,-74,0,-75,-81,-76,0,A00
370536,-80,0,-74,0,-73,-81,-76,0,A00
376067,-87,0,-76,0,-77,-83,-81,0,A00
385396,-80,0,-76,0,-76,-85,-81,0,A00
,,,,,,,,,
396251,-79,-86,-70,-89,-77,-78,-69,-88,A01
396251,-79,-83,-72,-91,-77,-78,-70,-87,A01
401782,-79,-91,-71,-88,-78,-79,-69,-88,A01
411112,-79,-87,-72,-90,-77,-79,-70,-89,A01
416440,-80,-87,-71,-91,-84,-79,-71,-89,A01
421768,-79,-83,-70,-92,-79,-79,-68,-87,A01
421768,-76,-87,-76,-91,-78,-79,-71,-88,A01
427298,-81,-86,-74,-95,-77,-76,-69,-87,A01
436626,-82,-85,-74,-93,-77,-79,-70,-89,A01
441955,-79,-89,-72,-90,-81,-79,-68,-89,A01
441955,-78,-87,-69,-90,-83,-78,-68,-88,A01
447283,-77,-88,-72,-91,-81,-82,-69,-88,A01
456612,-78,-86,-73,-88,-82,-77,-69,-88,A01
461940,-78,-86,-72,-91,-81,-78,-71,-87,A01
