timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1397162,-62,-73,-56,-80,-61,-78,-62,-78
1397162,-62,-73,-56,-80,-61,-78,-62,-78
1402693,-63,-74,-56,-79,-60,-78,-62,-77
1412224,-62,-72,-58,-81,-63,-78,-62,-78
1412224,-62,-72,-58,-81,-63,-78,-62,-78
1417751,-63,-72,-56,-79,-61,-78,-60,-78
1427279,-63,-75,-56,-79,-61,-77,-63,-78
1432807,-64,-73,-56,-80,-61,-77,-73,-78
1432807,-64,-73,-56,-80,-61,-77,-73,-78
1438337,-62,-73,-58,-80,-59,-77,-63,-79
1447868,-63,-74,-57,-81,-60,-78,-62,-78
1453396,-63,-74,-69,-80,-59,-78,-63,-78
1453396,-63,-74,-69,-80,-59,-78,-63,-78
1458928,-63,-74,-56,-80,-61,-78,-61,-79
1468456,-63,-73,-55,-81,-73,-78,-62,-78
1473985,-62,-73,-56,-81,-58,-77,-62,-79
1473985,-62,-73,-56,-81,-58,-77,-62,-79
1479513,-62,-73,-73,-81,-61,-79,-63,-77
1489841,-64,-73,-55,-80,-58,-78,-62,-78
1489841,-64,-73,-55,-80,-58,-78,-62,-78
1495171,-63,-74,-56,-80,-61,-78,-63,-78
1495171,-63,-74,-56,-80,-61,-78,-63,-78
1505700,-63,-74,-57,-79,-61,-77,-63,-78
1515229,-63,-73,-56,-79,-61,-77,-73,-79
1515229,-63,-73,-56,-79,-61,-77,-73,-79
1520759,-62,-74,-56,-80,-61,-77,-62,-79
1520759,-62,-74,-56,-80,-61,-77,-62,-79
1531289,-61,-74,-57,-80,-61,-76,-62,-78
1540818,-63,-73,-72,-82,-61,-79,-66,-78
1546348,-62,-71,-58,-81,-73,-78,-61,-78
1546348,-62,-71,-58,-81,-73,-78,-61,-78
1551877,-63,-74,-56,-81,-62,-76,-62,-76
1561408,-63,-73,-56,-82,-61,-78,-63,-78
1566936,-62,-74,-54,-81,-60,-78,-62,-78
1566936,-62,-74,-54,-81,-60,-78,-62,-78
1572465,-62,-74,-56,-82,-60,-78,-62,-77
1581993,-62,-73,-58,-80,-58,-78,-62,-78
1587521,-62,-74,-55,-81,-61,-74,-62,-78
1587521,-62,-74,-55,-81,-61,-74,-62,-78
1592850,-63,-74,-56,-80,-61,-77,-61,-78
1592850,-63,-74,-56,-80,-61,-77,-61,-78
1603380,-64,-74,-56,-82,-72,-77,-63,-78
1612914,-67,-73,-56,-81,-59,-79,-63,-78
1618445,-63,-71,-56,-81,-59,-74,-63,-79
1623772,-63,-74,-56,-81,-61,-78,-62,-77
1629302,-63,-74,-56,-81,-61,-78,-62,-78
1629302,-63,-74,-56,-81,-61,-78,-62,-78
1634831,-62,-74,-59,-81,-60,-77,-63,-79
1644359,-63,-74,-55,-81,-58,-77,-62,-78
1649688,-61,-72,-56,-82,-61,-77,-63,-78
1655217,-59,-73,-58,-82,-61,-77,-63,-78
1655217,-59,-73,-58,-82,-61,-77,-63,-78
1660746,-63,-71,-57,-81,-60,-78,-63,-77
1660746,-63,-71,-57,-81,-60,-78,-63,-77
1671277,-63,-74,-57,-80,-61,-77,-62,-78
1680807,-63,-74,-56,-81,-61,-77,-62,-76
1686335,-59,-72,-58,-81,-61,-75,-62,-78
1686335,-59,-72,-58,-81,-61,-75,-62,-78
1691865,-63,-74,-55,-80,-61,-77,-63,-77
1701395,-63,-74,-56,-80,-61,-77,-59,-78
1706924,-63,-74,-55,-85,-60,-82,-65,-78
1706924,-63,-74,-55,-85,-60,-82,-65,-78
1712452,-66,-67,-52,-92,-70,-80,-65,-79
1721983,-74,-78,-53,-85,-80,-84,-61,-78
1721983,-74,-78,-53,-85,-80,-84,-61,-78
1727511,-75,-79,-53,-84,-80,-84,-61,-78
1737040,-73,-80,-54,-84,-83,-88,-71,-78
1742569,-71,-82,-52,-91,-78,-87,-73,-79
1742569,-71,-82,-52,-91,-78,-87,-73,-79
1748099,-65,-62,-55,-84,-69,-82,-60,-87
1748099,-65,-62,-55,-84,-69,-82,-60,-87
1758627,-62,-61,-55,-87,-65,-78,-58,-95
1768156,-66,-61,-54,-90,-61,-83,-69,-83
1768156,-66,-61,-54,-90,-61,-83,-69,-83
1773687,-65,-59,-53,-91,-63,-82,-69,-82
1783218,-64,-54,-54,-87,-61,-90,-71,-83
1783218,-64,-54,-54,-87,-61,-90,-71,-83
1788748,-64,-53,-55,-93,-63,-90,-69,-83
1798277,-64,-54,-54,-92,-61,-89,-69,-80
1803804,-64,-54,-54,-92,-62,-93,-69,-83
1803804,-64,-54,-54,-92,-62,-93,-69,-83
1809335,-65,-53,-55,-91,-63,-94,-70,-83
1818863,-64,-53,-72,-90,-61,-91,-68,-82
1824390,-64,-54,-55,-94,-62,-90,-70,-83
1824390,-64,-54,-55,-94,-62,-90,-70,-83
1829918,-64,-55,-54,-90,-63,-91,-70,-82
1839446,-70,-59,-56,-92,-73,-83,-72,-81
1839446,-70,-59,-56,-92,-73,-83,-72,-81
1844974,-73,-70,-69,-81,-66,-83,-58,-86
1854504,-61,-60,-48,-93,-71,-82,-67,-81
1854504,-61,-60,-48,-93,-71,-82,-67,-81
1860032,-60,-61,-47,-92,-71,-82,-66,-80
1869360,-71,-63,-55,-98,-67,-82,-76,-86
1874688,-61,-65,-57,-79,-73,-79,-58,-83
1874688,-61,-65,-57,-79,-73,-79,-58,-83
1880218,-61,-54,-60,-88,-66,-85,-56,-85
1889748,-61,-54,-60,-90,-66,-87,-58,-85
1889748,-61,-54,-60,-90,-66,-87,-58,-85
1895277,-61,-56,-60,-89,-65,-86,-57,-84
1904808,-61,-56,-59,-88,-65,-84,-55,-84
1904808,-61,-56,-59,-88,-65,-84,-55,-84
1910338,-58,-67,-58,-93,-64,-87,-62,-82
1919870,-60,-65,-61,-92,-67,-89,-62,-84
1925197,-61,-66,-61,-90,-65,-91,-62,-84
1925197,-61,-66,-61,-90,-65,-91,-62,-84
1930725,-60,-63,-61,-94,-66,-90,-62,-84
1940254,-59,-65,-61,-92,-68,-91,-61,-85
1940254,-59,-65,-61,-92,-68,-91,-61,-85
1945784,-60,-63,-59,-93,-68,-91,-62,-84
1955111,-60,-65,-61,-90,-67,-93,-61,-86
1960640,-58,-63,-59,-90,-66,-93,-61,-85
1960640,-58,-63,-59,-90,-66,-93,-61,-85
1966170,-61,-65,-60,-91,-67,-91,-60,-84
1975699,-60,-65,-57,-93,-66,-93,-61,-85
1975699,-60,-65,-57,-93,-66,-93,-61,-85
1981229,-60,-66,-61,-86,-73,-93,-60,-82
1990759,-70,-65,-60,-90,-67,-92,-61,-82
1990759,-70,-65,-60,-90,-67,-92,-61,-82
1996288,-62,-72,-61,-87,-64,-83,-66,-83
2005819,-69,-63,-56,-82,-69,-86,-62,-80
2005819,-69,-63,-56,-82,-69,-86,-62,-80
2011349,-69,-64,-56,-84,-69,-86,-62,-80
2020879,-65,-64,-68,-91,-65,-79,-57,-83
2020879,-65,-64,-68,-91,-65,-79,-57,-83
2026410,-66,-64,-67,-91,-65,-83,-58,-84
2026410,-66,-64,-67,-91,-65,-83,-58,-84
2036941,-64,-72,-60,-80,-69,-91,-71,-77
2046471,-65,-66,-61,-80,-67,-92,-71,-77
2046471,-65,-66,-61,-80,-67,-92,-71,-77
2052003,-81,-74,-55,-87,-67,-79,-66,-87
2061535,-80,-75,-55,-90,-66,-79,-67,-88
2061535,-80,-75,-55,-90,-66,-79,-67,-88
2067065,-80,-74,-55,-87,-67,-80,-67,-86
2076392,-78,-73,-56,-87,-67,-81,-70,-87
2076392,-78,-73,-56,-87,-67,-81,-70,-87
2081921,-80,-74,-56,-89,-67,-79,-68,-88
2081921,-80,-74,-56,-89,-67,-79,-68,-88
2092452,-78,-75,-56,-93,-65,-79,-68,-85
2101982,-82,-74,-56,-86,-66,-86,-69,-87
2101982,-82,-74,-56,-86,-66,-86,-69,-87
2107513,-81,-75,-57,-91,-65,-82,-68,-86
2117041,-78,-74,-56,-90,-65,-86,-69,-86
2122571,-80,-74,-56,-91,-66,-81,-69,-88
2122571,-80,-74,-56,-91,-66,-81,-69,-88
2127899,-62,-70,-59,-87,-67,-77,-60,-83
2137426,-67,-67,-60,-79,-61,-74,-55,-78
2137426,-67,-67,-60,-79,-61,-74,-55,-78
2142955,-68,-67,-63,-79,-61,-75,-58,-79
2152484,-69,-67,-63,-78,-61,-75,-58,-75
2152484,-69,-67,-63,-78,-61,-75,-58,-75
2158013,-69,-67,-73,-79,-60,-74,-58,-76
2167342,-65,-73,-58,-79,-58,-77,-59,-79
2172870,-69,-63,-63,-96,-75,-83,-64,-82
2172870,-69,-63,-63,-96,-75,-83,-64,-82
2178400,-69,-60,-60,-94,-73,-77,-65,-82
2187928,-71,-65,-56,-86,-70,-86,-70,-79
2193457,-68,-61,-53,-85,-61,-87,-66,-79
2193457,-68,-61,-53,-85,-61,-87,-66,-79
2198987,-69,-60,-52,-84,-62,-86,-63,-83
2208519,-70,-60,-54,-87,-62,-86,-65,-81
2208519,-70,-60,-54,-87,-62,-86,-65,-81
2214048,-69,-61,-50,-84,-62,-86,-65,-83
2223378,-68,-62,-53,-84,-61,-86,-64,-78
2228706,-68,-60,-52,-84,-61,-89,-65,-83
2234237,-70,-60,-53,-85,-62,-89,-64,-84
2234237,-70,-60,-53,-85,-62,-89,-64,-84
2239767,-68,-60,-52,-87,-61,-92,-64,-85
2249296,-64,-61,-64,-90,-69,-84,-60,-83
2249296,-64,-61,-64,-90,-69,-84,-60,-83
2254825,-58,-60,-64,-87,-74,-81,-61,-85
2264353,-63,-60,-61,-87,-73,-81,-60,-86
2264353,-63,-60,-61,-87,-73,-81,-60,-86
2269883,-63,-61,-67,-90,-72,-84,-61,-86
2279411,-62,-60,-53,-85,-65,-78,-63,-90
2279411,-62,-60,-53,-85,-65,-78,-63,-90
2284940,-64,-61,-56,-87,-66,-80,-64,-90
2294468,-64,-60,-53,-86,-67,-78,-64,-94
2294468,-64,-60,-53,-86,-67,-78,-64,-94
2299799,-66,-59,-56,-85,-67,-80,-64,-92
2309326,-67,-59,-56,-86,-72,-81,-59,-87
2314658,-67,-60,-62,-82,-72,-75,-55,-89
2319989,-68,-59,-63,-84,-73,-75,-55,-89
2319989,-68,-59,-63,-84,-73,-75,-55,-89
2325518,-67,-60,-61,-84,-71,-75,-57,-87
2335047,-64,-56,-57,-85,-62,-80,-64,-74
2335047,-64,-56,-57,-85,-62,-80,-64,-74
2340577,-75,-60,-63,-94,-67,-74,-63,-83
2350109,-64,-70,-57,-94,-65,-74,-64,-79
2350109,-64,-70,-57,-94,-65,-74,-64,-79
2355636,-64,-69,-56,-89,-65,-74,-65,-81
2365163,-64,-70,-57,-94,-65,-80,-65,-80
2370692,-62,-69,-58,-94,-65,-74,-65,-80
2376221,-62,-74,-57,-93,-65,-80,-64,-80
2376221,-62,-74,-57,-93,-65,-80,-64,-80
2381551,-60,-70,-57,-93,-65,-74,-65,-80
2391079,-73,-62,-69,-88,-71,-90,-73,-81
2396607,-64,-53,-55,-81,-65,-82,-64,-83
2396607,-64,-53,-55,-81,-65,-82,-64,-83
2402138,-66,-56,-55,-79,-64,-78,-64,-82
2411668,-71,-63,-53,-78,-63,-89,-66,-82
2411668,-71,-63,-53,-78,-63,-89,-66,-82
2417199,-71,-64,-53,-78,-65,-93,-67,-81
2426729,-76,-71,-53,-80,-73,-87,-64,-80
2426729,-76,-71,-53,-80,-73,-87,-64,-80
2432258,-65,-55,-57,-88,-64,-82,-73,-83
2441787,-65,-53,-58,-86,-63,-83,-59,-83
2441787,-65,-53,-58,-86,-63,-83,-59,-83
2447316,-64,-53,-58,-88,-63,-81,-59,-84
2456846,-65,-55,-53,-92,-68,-78,-58,-91
2456846,-65,-55,-53,-92,-68,-78,-58,-91
2462374,-63,-55,-55,-88,-69,-78,-60,-94
2471902,-65,-56,-56,-89,-70,-79,-61,-91
