timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
9985694,-71,-67,-64,-81,-64,-70,-58,-80
9991025,-76,-70,-70,-82,-55,-69,-57,-80
9996355,-72,-71,-64,-81,-55,-71,-58,-79
9996355,-72,-71,-64,-81,-55,-71,-58,-79
10001683,-72,-71,-67,-82,-59,-69,-58,-79
10001683,-72,-71,-67,-82,-59,-69,-58,-79
10012012,-72,-71,-65,-84,-56,-69,-58,-78
10021341,-71,-71,-65,-84,-56,-79,-58,-78
10026671,-71,-71,-67,-82,-58,-69,-57,-79
10031999,-70,-71,-67,-82,-57,-68,-58,-80
10031999,-70,-71,-67,-82,-57,-68,-58,-80
10037330,-69,-70,-68,-81,-56,-68,-58,-80
10037330,-69,-70,-68,-81,-56,-68,-58,-80
10047660,-72,-72,-66,-78,-73,-69,-60,-80
10056990,-76,-70,-70,-84,-55,-67,-59,-80
10062318,-73,-71,-65,-80,-59,-69,-58,-80
10067650,-71,-71,-71,-80,-57,-70,-54,-80
10067650,-71,-71,-71,-80,-57,-70,-54,-80
10072980,-72,-70,-70,-83,-57,-71,-58,-79
10082309,-71,-70,-65,-81,-58,-72,-59,-79
10082309,-71,-70,-65,-81,-58,-72,-59,-79
10088638,-73,-70,-66,-82,-57,-70,-58,-80
10097969,-75,-71,-67,-82,-57,-71,-58,-80
10103297,-79,-70,-73,-84,-57,-73,-60,-82
10108630,-73,-69,-71,-79,-58,-71,-64,-81
10113959,-74,-71,-69,-80,-55,-71,-58,-80
10113959,-74,-71,-69,-80,-55,-71,-58,-80
10119287,-76,-71,-65,-80,-57,-72,-61,-80
10119287,-76,-71,-65,-80,-57,-72,-61,-80
10129617,-78,-70,-68,-80,-57,-71,-60,-83
10138948,-74,-70,-70,-82,-57,-70,-58,-80
10144277,-73,-71,-71,-80,-57,-68,-58,-79
10144277,-73,-71,-71,-80,-57,-68,-58,-79
10149605,-75,-72,-69,-83,-57,-70,-57,-79
10158935,-76,-72,-67,-81,-55,-71,-58,-79
10164264,-75,-71,-68,-80,-59,-69,-58,-78
10169595,-75,-66,-69,-81,-58,-71,-57,-76
10169595,-75,-66,-69,-81,-58,-71,-57,-76
10174925,-74,-72,-66,-84,-57,-71,-58,-80
10184254,-74,-68,-70,-82,-57,-71,-59,-79
10189581,-75,-71,-68,-83,-57,-79,-59,-79
10194910,-73,-71,-69,-83,-58,-70,-58,-79
10194910,-73,-71,-69,-83,-58,-70,-58,-79
10200238,-73,-71,-69,-84,-58,-70,-58,-80
10200238,-73,-71,-69,-84,-58,-70,-58,-80
10210574,-74,-71,-69,-84,-56,-80,-58,-80
10219903,-72,-71,-68,-83,-55,-68,-58,-80
10225235,-77,-71,-68,-85,-55,-68,-58,-81
10230563,-71,-67,-71,-82,-58,-72,-59,-78
10235892,-73,-71,-68,-82,-54,-72,-59,-79
10241227,-73,-71,-69,-82,-57,-71,-58,-80
10241227,-73,-71,-69,-82,-57,-71,-58,-80
10246556,-71,-72,-67,-82,-57,-70,-59,-79
10255885,-72,-73,-68,-82,-72,-71,-58,-78
10261213,-72,-72,-68,-82,-56,-79,-58,-80
10261213,-72,-72,-68,-82,-56,-79,-58,-80
10266543,-72,-71,-68,-83,-57,-71,-66,-79
10275873,-72,-71,-68,-83,-57,-71,-58,-79
10281204,-71,-71,-67,-82,-57,-68,-58,-79
10286533,-71,-72,-69,-82,-58,-72,-58,-78
10286533,-71,-72,-69,-82,-58,-72,-58,-78
10291863,-70,-71,-71,-79,-57,-70,-58,-79
