timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1367637,-78,-80,-76,-87,-58,-69,-63,-88
1376964,-75,-84,-74,-89,-57,-70,-64,-92
1382292,-76,-83,-73,-91,-58,-69,-62,-92
1387620,-78,-79,-79,-90,-58,-68,-64,-92
1387620,-78,-79,-79,-90,-58,-68,-64,-92
1392949,-80,-78,-71,-92,-58,-69,-64,-90
1402277,-80,-78,-71,-89,-59,-70,-64,-90
1407605,-78,-80,-71,-87,-58,-69,-64,-90
1412933,-77,-78,-69,-87,-57,-69,-64,-93
1412933,-77,-78,-69,-87,-57,-69,-64,-93
1418264,-79,-79,-73,-89,-57,-68,-64,-90
1427596,-77,-78,-69,-90,-58,-68,-65,-90
1432926,-77,-82,-74,-90,-57,-67,-64,-87
1438256,-78,-84,-72,-88,-58,-68,-64,-91
1438256,-78,-84,-72,-88,-58,-68,-64,-91
1443587,-76,-81,-71,-88,-58,-69,-65,-91
1452916,-76,-83,-76,-89,-60,-70,-67,-94
1458245,-76,-82,-77,-86,-60,-69,-64,-90
1463576,-78,-82,-71,-90,-60,-69,-64,-89
1463576,-78,-82,-71,-90,-60,-69,-64,-89
1468906,-77,-80,-74,-88,-57,-69,-63,-88
1478234,-77,-83,-71,-92,-59,-67,-65,-88
1483563,-75,-80,-79,-92,-59,-69,-73,-90
1483563,-75,-80,-79,-92,-59,-69,-73,-90
1488892,-77,-89,-75,-93,-58,-69,-63,-89
1498223,-76,-79,-74,-93,-58,-68,-64,-90
1503553,-76,-79,-74,-92,-58,-79,-64,-85
1508881,-75,-86,-72,-91,-58,-70,-73,-85
1508881,-75,-86,-72,-91,-58,-70,-73,-85
1514211,-76,-81,-72,-91,-60,-69,-65,-89
1523539,-77,-91,-73,-86,-59,-69,-65,-93
1528868,-79,-86,-71,-88,-57,-68,-63,-91
1528868,-79,-86,-71,-88,-57,-68,-63,-91
1534201,-77,-84,-71,-86,-56,-68,-64,-91
1543530,-78,-84,-70,-86,-58,-68,-64,-93
1543530,-78,-84,-70,-86,-58,-68,-64,-93
1549864,-78,-86,-70,-88,-57,-68,-64,-94
1559192,-77,-84,-71,-87,-58,-70,-63,-92
1564522,-78,-89,-71,-84,-57,-69,-64,-89
1564522,-78,-89,-71,-84,-57,-69,-64,-89
1569851,-77,-84,-70,-86,-57,-68,-64,-90
1579182,-78,-85,-70,-84,-56,-69,-64,-91
1584509,-78,-85,-71,-88,-59,-68,-63,-86
1584509,-78,-85,-71,-88,-59,-68,-63,-86
1589840,-77,-81,-72,-86,-58,-69,-65,-94
1599171,-82,-83,-73,-85,-59,-69,-65,-84
1604501,-77,-86,-72,-88,-59,-71,-65,-92
1609829,-78,-85,-71,-89,-57,-69,-64,-94
1609829,-78,-85,-71,-89,-57,-69,-64,-94
1615157,-77,-84,-72,-90,-58,-70,-64,-94
1624486,-77,-86,-70,-86,-57,-71,-64,-94
1629818,-79,-84,-71,-89,-57,-70,-64,-92
1629818,-79,-84,-71,-89,-57,-70,-64,-92
1635147,-80,-87,-70,-89,-57,-70,-64,-91
1644479,-78,-89,-70,-91,-58,-69,-64,-91
1649809,-79,-88,-70,-88,-57,-67,-64,-93
1649809,-79,-88,-70,-88,-57,-67,-64,-93
1655137,-80,-87,-70,-86,-59,-68,-64,-92
