timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
1211469,-66,-69,-75,-80,-48,-76,-66,-80
1220797,-67,-69,-75,-80,-47,-75,-67,-80
1226125,-67,-69,-74,-80,-48,-74,-66,-78
1231452,-67,-70,-72,-81,-49,-81,-67,-80
1231452,-67,-70,-72,-81,-49,-81,-67,-80
1236780,-67,-69,-75,-79,-48,-78,-66,-80
1246108,-65,-69,-75,-79,-48,-72,-66,-80
1251435,-67,-64,-75,-78,-47,-73,-66,-79
1256764,-66,-70,-75,-77,-46,-74,-67,-80
1256764,-66,-70,-75,-77,-46,-74,-67,-80
1262093,-66,-71,-76,-77,-48,-80,-67,-79
1271421,-66,-70,-76,-79,-48,-78,-68,-79
1276749,-64,-70,-75,-79,-48,-73,-67,-78
1276749,-64,-70,-75,-79,-48,-73,-67,-78
1282080,-66,-70,-77,-80,-48,-74,-66,-79
1291409,-66,-70,-75,-79,-48,-73,-65,-76
1296738,-66,-70,-76,-81,-49,-73,-67,-80
1302067,-66,-69,-77,-79,-49,-75,-67,-79
1302067,-66,-69,-77,-79,-49,-75,-67,-79
1307396,-65,-70,-75,-76,-48,-75,-66,-80
1316726,-66,-72,-76,-78,-49,-74,-66,-78
1322056,-67,-69,-76,-78,-49,-79,-67,-79
1327388,-66,-70,-75,-80,-48,-79,-65,-79
1332716,-68,-69,-74,-79,-48,-73,-65,-78
1332716,-68,-69,-74,-79,-48,-73,-65,-78
1338045,-67,-70,-75,-79,-49,-74,-67,-78
1347372,-66,-69,-77,-79,-48,-74,-67,-79
1352700,-67,-70,-76,-79,-47,-73,-66,-80
1352700,-67,-70,-76,-79,-47,-73,-66,-80
1358030,-67,-71,-76,-79,-48,-74,-67,-79
1358030,-67,-71,-76,-79,-48,-74,-67,-79
1368358,-67,-70,-77,-80,-48,-74,-65,-79
1377689,-67,-69,-77,-79,-48,-74,-68,-78
1383016,-66,-68,-77,-79,-48,-74,-67,-79
1383016,-66,-68,-77,-79,-48,-74,-67,-79
1388347,-67,-70,-78,-79,-48,-74,-66,-77
1397673,-63,-70,-79,-80,-48,-78,-67,-79
1403002,-67,-70,-79,-78,-49,-74,-65,-80
1403002,-67,-70,-79,-78,-49,-74,-65,-80
1408332,-64,-70,-78,-79,-48,-75,-67,-79
1417660,-67,-69,-78,-77,-49,-74,-67,-78
1422991,-66,-70,-77,-78,-49,-75,-67,-79
1428320,-67,-70,-78,-80,-48,-73,-66,-80
1433647,-66,-71,-79,-80,-48,-78,-67,-80
1438977,-66,-69,-78,-81,-48,-79,-66,-79
1438977,-66,-69,-78,-81,-48,-79,-66,-79
1444305,-66,-70,-79,-81,-49,-74,-67,-79
1453633,-64,-70,-77,-80,-49,-79,-66,-80
1458963,-66,-71,-81,-81,-49,-75,-66,-85
1458963,-66,-71,-81,-81,-49,-75,-66,-85
1464292,-66,-69,-79,-83,-48,-79,-65,-78
1473621,-66,-70,-80,-79,-49,-74,-64,-78
1478951,-66,-69,-78,-80,-48,-78,-65,-79
1484280,-65,-69,-80,-80,-48,-76,-67,-79
1484280,-65,-69,-80,-80,-48,-76,-67,-79
1489611,-65,-69,-78,-81,-49,-75,-67,-79
1498940,-66,-68,-80,-79,-48,-76,-66,-80
1504268,-66,-69,-79,-80,-49,-73,-67,-79
