timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
4404469,-68,-74,-60,-77,-54,-75,-78,-66
4409796,-70,-73,-62,-73,-52,-75,-72,-71
4409796,-70,-73,-62,-73,-52,-75,-72,-71
4415124,-67,-73,-60,-73,-54,-73,-74,-67
4424452,-68,-74,-60,-74,-54,-74,-75,-74
4429781,-71,-74,-62,-72,-55,-76,-71,-67
4429781,-71,-74,-62,-72,-55,-76,-71,-67
4435110,-69,-73,-61,-74,-54,-77,-75,-67
4435110,-69,-73,-61,-74,-54,-77,-75,-67
4445439,-70,-71,-62,-74,-73,-76,-72,-67
4454770,-69,-74,-60,-75,-52,-75,-71,-67
4460099,-69,-73,-61,-75,-53,-78,-72,-66
4460099,-69,-73,-61,-75,-53,-78,-72,-66
4465430,-68,-74,-60,-75,-53,-76,-72,-67
4474759,-69,-73,-62,-74,-52,-74,-72,-66
4480089,-69,-73,-61,-74,-55,-72,-74,-66
4480089,-69,-73,-61,-74,-55,-72,-74,-66
4485417,-68,-73,-61,-75,-54,-74,-68,-74
4494746,-67,-73,-61,-75,-54,-76,-73,-66
4500074,-69,-72,-61,-75,-53,-75,-74,-67
4505402,-69,-72,-61,-75,-53,-75,-72,-65
4510729,-67,-73,-62,-76,-53,-77,-74,-67
4510729,-67,-73,-62,-76,-53,-77,-74,-67
4516059,-68,-72,-60,-75,-54,-73,-70,-67
4525388,-68,-71,-61,-75,-53,-75,-70,-67
4530717,-67,-72,-61,-74,-61,-75,-73,-68
4530717,-67,-72,-61,-74,-61,-75,-73,-68
4536047,-68,-70,-61,-75,-52,-78,-70,-72
4545377,-74,-73,-61,-80,-53,-78,-70,-67
4550707,-68,-74,-60,-79,-54,-78,-71,-66
4550707,-68,-74,-60,-79,-54,-78,-71,-66
4556035,-67,-72,-61,-74,-54,-76,-72,-66
4565364,-68,-72,-61,-77,-53,-77,-72,-66
4570692,-69,-72,-60,-78,-55,-74,-69,-74
4576025,-68,-73,-60,-77,-54,-75,-69,-64
4581359,-69,-74,-59,-78,-52,-75,-72,-66
4581359,-69,-74,-59,-78,-52,-75,-72,-66
4586688,-68,-72,-60,-78,-52,-76,-73,-66
4596018,-73,-72,-59,-74,-53,-75,-75,-67
4601346,-68,-74,-61,-77,-52,-76,-72,-68
4601346,-68,-74,-61,-77,-52,-76,-72,-68
4606676,-67,-72,-60,-81,-53,-75,-70,-71
4616005,-67,-74,-59,-78,-57,-73,-71,-67
4621334,-67,-70,-60,-77,-56,-73,-70,-74
4621334,-67,-70,-60,-77,-56,-73,-70,-74
4626666,-68,-78,-59,-78,-56,-73,-71,-68
4626666,-68,-78,-59,-78,-56,-73,-71,-68
4636996,-73,-74,-62,-78,-54,-79,-82,-72
4646325,-66,-69,-61,-80,-53,-77,-72,-73
4651652,-67,-73,-63,-73,-51,-76,-73,-68
4651652,-67,-73,-63,-73,-51,-76,-73,-68
4656983,-68,-75,-62,-78,-52,-73,-74,-68
4666312,-62,-73,-73,-76,-52,-75,-71,-67
4671643,-67,-73,-62,-77,-55,-77,-72,-67
4671643,-67,-73,-62,-77,-55,-77,-72,-67
4676973,-67,-73,-59,-73,-55,-76,-73,-65
4686301,-66,-72,-61,-75,-53,-75,-75,-67
4691629,-69,-71,-60,-77,-54,-75,-75,-67
4696957,-67,-74,-59,-74,-54,-74,-71,-65
