timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
9879929,-79,-90,-88,-92,-62,-69,-76,-81
9889459,-82,-83,-86,-91,-62,-68,-78,-84
9894988,-79,-86,-87,-88,-61,-69,-79,-84
9900519,-79,-86,-86,-90,-62,-69,-79,-85
9900519,-79,-86,-86,-90,-62,-69,-79,-85
9906049,-80,-85,-85,-87,-62,-71,-83,-84
9915577,-77,-83,-82,-91,-62,-71,-78,-81
9920905,-89,-86,-85,-85,-64,-72,-84,-85
9920905,-89,-86,-85,-85,-64,-72,-84,-85
9926237,-78,-84,-80,-89,-70,-71,-78,-86
9935567,-79,-90,-82,-92,-64,-72,-79,-85
9935567,-79,-90,-82,-92,-64,-72,-79,-85
9941099,-77,-83,-90,-89,-62,-69,-80,-87
9950427,-80,-85,-85,-91,-63,-70,-79,-84
9955757,-75,-87,-90,-87,-61,-69,-80,-85
9955757,-75,-87,-90,-87,-61,-69,-80,-85
9961285,-78,-86,-85,-92,-62,-70,-80,-83
9970614,-79,-85,-83,-89,-61,-69,-82,-84
9975942,-80,-85,-87,-88,-62,-70,-79,-85
9975942,-80,-85,-87,-88,-62,-70,-79,-85
9981272,-80,-85,-86,-89,-62,-70,-80,-81
9991602,-81,-84,-84,-88,-62,-70,-81,-84
9991602,-81,-84,-84,-88,-62,-70,-81,-84
9997133,-84,-84,-80,-92,-63,-70,-79,-84
10006663,-82,-88,-83,-91,-62,-69,-81,-86
10012195,-79,-89,-84,-93,-63,-69,-79,-86
10017524,-81,-86,-89,-92,-74,-70,-81,-84
10017524,-81,-86,-89,-92,-74,-70,-81,-84
10023052,-74,-85,-85,-89,-63,-70,-81,-82
10032383,-81,-85,-84,-92,-62,-69,-78,-89
10032383,-81,-85,-84,-92,-62,-69,-78,-89
10037912,-79,-83,-87,-90,-64,-71,-81,-87
10047243,-77,-83,-89,-86,-69,-69,-84,-88
10052571,-80,-85,-84,-93,-64,-69,-80,-88
10052571,-80,-85,-84,-93,-64,-69,-80,-88
10057902,-80,-84,-86,-91,-62,-70,-82,-82
10067431,-82,-82,-85,-91,-63,-70,-80,-86
10072759,-78,-85,-86,-91,-62,-69,-82,-88
10072759,-78,-85,-86,-91,-62,-69,-82,-88
10078292,-77,-82,-82,-92,-63,-69,-80,-89
10087620,-80,-78,-83,-91,-62,-69,-76,-89
10092948,-82,-79,-84,-93,-62,-69,-78,-87
10098278,-81,-83,-82,-92,-61,-69,-82,-87
10098278,-81,-83,-82,-92,-61,-69,-82,-87
10103808,-78,-83,-82,-92,-61,-70,-80,-85
10113139,-79,-80,-85,-93,-62,-69,-79,-85
10118467,-80,-83,-85,-90,-61,-69,-76,-85
10123797,-86,-84,-85,-90,-62,-69,-78,-85
10123797,-86,-84,-85,-90,-62,-69,-78,-85
10129129,-80,-82,-87,-91,-60,-69,-76,-84
10138458,-80,-86,-87,-92,-62,-68,-78,-86
10143991,-80,-84,-79,-93,-63,-70,-78,-89
10143991,-80,-84,-79,-93,-63,-70,-78,-89
10149522,-80,-83,-86,-90,-62,-69,-76,-85
10159050,-78,-86,-85,-90,-62,-70,-81,-86
10159050,-78,-86,-85,-90,-62,-70,-81,-86
10164379,-78,-89,-84,-90,-63,-70,-79,-85
10173708,-79,-88,-82,-90,-62,-70,-79,-88
