timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
11085682,-79,-90,-89,-68,-58,-79,-75,-81
11091011,-75,-89,-91,-66,-58,-82,-74,-81
11096339,-76,-85,-85,-67,-58,-82,-75,-81
11096339,-76,-85,-85,-67,-58,-82,-75,-81
11101669,-79,-87,-88,-65,-57,-80,-74,-80
11110998,-79,-93,-84,-66,-58,-82,-73,-80
11116326,-77,-83,-87,-67,-58,-83,-74,-81
11116326,-77,-83,-87,-67,-58,-83,-74,-81
11121655,-76,-86,-83,-66,-72,-83,-73,-80
11130985,-77,-91,-87,-67,-57,-83,-73,-79
11136317,-78,-89,-94,-67,-57,-82,-73,-80
11141645,-76,-91,-83,-66,-58,-84,-73,-80
11141645,-76,-91,-83,-66,-58,-84,-73,-80
11146976,-76,-82,-87,-66,-58,-82,-76,-80
11156306,-76,-82,-89,-67,-58,-82,-79,-80
11161637,-75,-82,-90,-67,-58,-83,-74,-80
11166965,-72,-83,-92,-67,-57,-82,-75,-79
11166965,-72,-83,-92,-67,-57,-82,-75,-79
11172293,-76,-84,-92,-67,-58,-83,-74,-80
11181624,-77,-89,-93,-72,-57,-83,-73,-81
11186956,-77,-89,-85,-67,-58,-81,-72,-80
11186956,-77,-89,-85,-67,-58,-81,-72,-80
11192286,-76,-89,-84,-67,-59,-82,-74,-83
11201617,-77,-91,-87,-67,-57,-83,-75,-79
11206945,-84,-88,-91,-67,-57,-78,-76,-79
11206945,-84,-88,-91,-67,-57,-78,-76,-79
11212277,-79,-90,-86,-67,-58,-81,-75,-80
11221605,-82,-86,-87,-65,-58,-79,-73,-77
11226932,-79,-84,-84,-66,-59,-83,-73,-80
11232262,-78,-85,-86,-67,-58,-83,-74,-79
11237592,-77,-83,-80,-66,-58,-83,-74,-75
11237592,-77,-83,-80,-66,-58,-83,-74,-75
11242920,-78,-83,-76,-67,-58,-82,-72,-81
11252251,-76,-81,-79,-66,-58,-83,-73,-82
11257580,-74,-76,-78,-66,-58,-83,-76,-83
11257580,-74,-76,-78,-66,-58,-83,-76,-83
11262911,-76,-74,-79,-67,-57,-82,-74,-83
11272239,-75,-80,-79,-74,-57,-83,-73,-84
11277568,-77,-79,-80,-67,-57,-84,-74,-82
11277568,-77,-79,-80,-67,-57,-84,-74,-82
11282898,-75,-77,-84,-66,-58,-82,-73,-79
11292229,-78,-81,-89,-67,-57,-82,-74,-80
11297558,-78,-82,-89,-69,-57,-81,-74,-77
11302892,-77,-82,-92,-67,-58,-81,-75,-80
11302892,-77,-82,-92,-67,-58,-81,-75,-80
11308223,-77,-82,-83,-66,-59,-78,-74,-79
11317555,-80,-80,-81,-67,-57,-83,-75,-79
11322890,-78,-80,-81,-67,-56,-82,-74,-80
11322890,-78,-80,-81,-67,-56,-82,-74,-80
11328220,-78,-83,-82,-66,-57,-77,-74,-78
11337550,-77,-83,-86,-66,-57,-82,-75,-81
11342880,-76,-83,-83,-66,-57,-83,-74,-79
11342880,-76,-83,-83,-66,-57,-83,-74,-79
11348209,-77,-83,-84,-66,-57,-84,-75,-82
11357538,-77,-82,-91,-67,-57,-80,-75,-80
11362868,-72,-81,-79,-66,-57,-81,-73,-79
11368196,-74,-84,-77,-70,-57,-86,-74,-79
11373525,-78,-80,-87,-66,-57,-80,-76,-80
11378857,-76,-84,-78,-67,-57,-83,-74,-81
