timestamp,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
15241540,-74,-85,-76,-60,-64,-83,-72,-88
15250869,-72,-85,-77,-63,-65,-85,-72,-90
15256197,-74,-86,-77,-63,-62,-81,-72,-89
15261526,-73,-86,-77,-65,-64,-84,-73,-88
15261526,-73,-86,-77,-65,-64,-84,-73,-88
15266855,-72,-87,-77,-64,-76,-85,-73,-89
15276185,-72,-87,-77,-64,-65,-83,-72,-86
15281511,-74,-86,-77,-63,-65,-82,-72,-91
15286837,-73,-86,-77,-64,-64,-89,-72,-89
15286837,-73,-86,-77,-64,-64,-89,-72,-89
15292164,-73,-87,-78,-64,-64,-91,-72,-88
15301493,-74,-87,-77,-63,-64,-88,-69,-89
15306819,-74,-87,-77,-63,-64,-83,-72,-91
15312146,-74,-88,-77,-64,-63,-83,-71,-89
15317476,-73,-87,-77,-63,-64,-83,-72,-89
15317476,-73,-87,-77,-63,-64,-83,-72,-89
15322805,-73,-87,-77,-63,-64,-82,-73,-91
15332135,-75,-86,-76,-62,-64,-90,-72,-89
15337462,-73,-86,-77,-63,-64,-81,-69,-89
15337462,-73,-86,-77,-63,-64,-81,-69,-89
15342790,-73,-85,-77,-63,-63,-83,-70,-89
15352117,-74,-87,-77,-64,-64,-82,-72,-90
15357445,-73,-87,-77,-60,-64,-89,-72,-91
15362773,-74,-87,-77,-63,-63,-83,-72,-89
15362773,-74,-87,-77,-63,-63,-83,-72,-89
15368102,-73,-87,-76,-61,-64,-83,-72,-91
15377430,-74,-86,-75,-63,-64,-91,-72,-91
15382758,-74,-87,-76,-63,-62,-82,-72,-91
15382758,-74,-87,-76,-63,-62,-82,-72,-91
15388089,-74,-87,-77,-62,-64,-81,-73,-91
15397417,-77,-88,-77,-63,-64,-89,-72,-86
15402743,-74,-88,-77,-64,-64,-83,-72,-92
15402743,-74,-88,-77,-64,-64,-83,-72,-92
15408072,-73,-87,-77,-64,-65,-83,-72,-88
15408072,-73,-87,-77,-64,-65,-83,-72,-88
15418399,-73,-87,-76,-63,-64,-83,-72,-89
15427729,-74,-87,-77,-63,-65,-83,-70,-91
15433056,-75,-88,-77,-63,-62,-83,-71,-90
15433056,-75,-88,-77,-63,-62,-83,-71,-90
15438385,-74,-87,-76,-64,-63,-83,-73,-89
15447712,-74,-86,-78,-63,-64,-84,-72,-90
15453039,-73,-88,-77,-63,-64,-90,-71,-90
15458368,-74,-86,-78,-63,-64,-82,-70,-89
15463695,-74,-88,-77,-65,-64,-82,-72,-91
15463695,-74,-88,-77,-65,-64,-82,-72,-91
15469022,-74,-90,-77,-64,-63,-81,-72,-90
15478352,-74,-88,-77,-63,-64,-84,-72,-90
15483680,-74,-87,-77,-63,-63,-90,-72,-90
15489012,-73,-89,-77,-64,-64,-83,-72,-90
15489012,-73,-89,-77,-64,-64,-83,-72,-90
15494340,-72,-88,-77,-63,-63,-83,-72,-90
15503670,-73,-87,-77,-64,-64,-89,-70,-88
15508998,-73,-87,-77,-63,-64,-84,-73,-90
15508998,-73,-87,-77,-63,-64,-84,-73,-90
15514330,-72,-87,-77,-63,-63,-83,-72,-90
15523659,-75,-88,-77,-62,-64,-83,-73,-90
15528985,-74,-88,-77,-63,-63,-82,-71,-91
15528985,-74,-88,-77,-63,-63,-82,-71,-91
