timestamp,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
213960,-63,-84,-66,-87,-69,-77,-70,-86,A00
213960,-63,-84,-66,-87,-69,-77,-70,-86,A00
219490,-61,-84,-66,-86,-68,-77,-70,-86,A00
229020,-62,-84,-66,-83,-70,-83,-70,-90,A00
229020,-62,-84,-66,-83,-70,-83,-70,-90,A00
234550,-62,-85,-66,-86,-72,-75,-68,-89,A00
243880,-66,-79,-65,-87,-79,-85,-70,-89,A00
249209,-66,-82,-68,-86,-80,-82,-77,-91,A00
254537,-70,-78,-74,-92,-76,-74,-72,-86,A00
254537,-70,-78,-74,-92,-76,-74,-72,-86,A00
259868,-71,-79,-72,-91,-71,-75,-78,-88,A00
269197,-69,-92,-68,-91,-68,-81,-71,-85,A00
274524,-79,-80,-74,-93,-73,-71,-68,-89,A00
280053,-72,-83,-68,-88,-66,-72,-62,-85,A00
280053,-72,-83,-68,-88,-66,-72,-62,-85,A00
285382,-73,-80,-64,-91,-67,-72,-76,-88,A00
294911,-71,-82,-64,-91,-76,-83,-66,-86,A00
294911,-71,-82,-64,-91,-76,-83,-66,-86,A00
300241,-64,-74,-71,-82,-75,-69,-73,-87,A00
309568,-67,-86,-71,-89,-78,-72,-67,-87,A00
314898,-71,-88,-66,-92,-63,-75,-68,-84,A00
314898,-71,-88,-66,-92,-63,-75,-68,-84,A00
320427,-66,-86,-75,-85,-77,-81,-66,-82,A00
329756,-69,-82,-66,-93,-77,-83,-65,-84,A00
335285,-67,-81,-83,-88,-67,-72,-75,-91,A00
340613,-72,-82,-75,-81,-64,-70,-79,-94,A00
340613,-72,-82,-75,-81,-64,-70,-79,-94,A00
346143,-83,-86,-70,-95,-82,-78,-75,-90,A00
355675,-80,-86,-70,-84,-79,-84,-71,-86,A00
355675,-80,-86,-70,-84,-79,-84,-71,-86,A00
361207,-78,-86,-69,-87,-84,-76,-71,-85,A00
370536,-79,-87,-69,-83,-78,-75,-71,-84,A00
370536,-79,-87,-69,-83,-78,-75,-71,-84,A00
376067,-76,-85,-69,-87,-83,-75,-70,-85,A00
385396,-82,-84,-69,-89,-71,-72,-67,-91,A00
390722,-70,-83,-73,-89,-76,-78,-71,-88,A00
396251,-78,-83,-73,-89,-71,-77,-70,-90,A00
396251,-78,-83,-73,-89,-71,-77,-70,-90,A00
401782,-74,-91,-69,-84,-76,-70,-69,-93,A00
411112,-71,-81,-66,-88,-67,-81,-70,-91,A00
416440,-78,-84,-66,-83,-69,-80,-84,-94,A00
421768,-61,-83,-62,-88,-68,-74,-70,-87,A00
421768,-61,-83,-62,-88,-68,-74,-70,-87,A00
427298,-73,-87,-68,-89,-74,-90,-79,-85,A00
436626,-63,-81,-66,-88,-65,-79,-70,-87,A00
441955,-61,-84,-67,-87,-67,-80,-79,-90,A00
441955,-61,-84,-67,-87,-67,-80,-79,-90,A00
447283,-66,-81,-67,-89,-66,-79,-81,-89,A00
456612,-66,-82,-66,-89,-68,-82,-80,-88,A00
461940,-72,-83,-65,-84,-65,-81,-68,-88,A00
467271,-66,-84,-67,-86,-67,-87,-72,-86,A00
472601,-77,-77,-73,-84,-82,-74,-73,-92,A00
472601,-77,-77,-73,-84,-82,-74,-73,-92,A00
477933,-78,-73,-77,-85,-71,-75,-77,-90,A00
487265,-78,-75,-87,-84,-70,-70,-74,-93,A00
487265,-78,-75,-87,-84,-70,-70,-74,-93,A00
492795,-73,-79,-66,-91,-64,-76,-73,-89,A00
502328,-77,-80,-71,-87,-70,-81,-67,-91,A00
507660,-79,-95,-71,-94,-73,-83,-61,-90,A00
507660,-79,-95,-71,-94,-73,-83,-61,-90,A00
512992,-80,-87,-68,-92,-83,-86,-61,-93,A00
522321,-84,-88,-66,-86,-69,-80,-62,-94,A00
527849,-70,-82,-64,-81,-73,-85,-64,-81,A00
527849,-70,-82,-64,-81,-73,-85,-64,-81,A00
533378,-69,-79,-66,-83,-73,-77,-71,-90,A00
542709,-70,-79,-65,-85,-72,-79,-73,-91,A00
548036,-72,-81,-65,-82,-74,-71,-72,-91,A00
548036,-72,-81,-65,-82,-74,-71,-72,-91,A00
553564,-72,-78,-64,-81,-79,-74,-73,-90,A00
562894,-73,-78,-64,-81,-69,-77,-68,-89,A00
568227,-74,-78,-67,-79,-67,-82,-68,-90,A00
568227,-74,-78,-67,-79,-67,-82,-68,-90,A00
573761,-69,-82,-69,-85,-73,-79,-73,-90,A00
583091,-73,-80,-73,-84,-69,-71,-75,-91,A00
