CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
-63,-84,-66,-87,-69,-77,-70,-86,A00
-63,-84,-66,-87,-69,-77,-70,-86,A00
-61,-84,-66,-86,-68,-77,-70,-86,A00
-62,-84,-66,-83,-70,-83,-70,-90,A00
-62,-84,-66,-83,-70,-83,-70,-90,A00
-62,-85,-66,-86,-72,-75,-68,-89,A00
-66,-79,-65,-87,-79,-85,-70,-89,A00
-66,-82,-68,-86,-80,-82,-77,-91,A00
-70,-78,-74,-92,-76,-74,-72,-86,A00
-70,-78,-74,-92,-76,-74,-72,-86,A00
-71,-79,-72,-91,-71,-75,-78,-88,A00
-69,-92,-68,-91,-68,-81,-71,-85,A00
-79,-80,-74,-93,-73,-71,-68,-89,A00
-72,-83,-68,-88,-66,-72,-62,-85,A00
-72,-83,-68,-88,-66,-72,-62,-85,A00
-73,-80,-64,-91,-67,-72,-76,-88,A00
-71,-82,-64,-91,-76,-83,-66,-86,A00
-71,-82,-64,-91,-76,-83,-66,-86,A00
-64,-74,-71,-82,-75,-69,-73,-87,A00
-67,-86,-71,-89,-78,-72,-67,-87,A00
-71,-88,-66,-92,-63,-75,-68,-84,A00
-71,-88,-66,-92,-63,-75,-68,-84,A00
-66,-86,-75,-85,-77,-81,-66,-82,A00
-69,-82,-66,-93,-77,-83,-65,-84,A00
-67,-81,-83,-88,-67,-72,-75,-91,A00
-72,-82,-75,-81,-64,-70,-79,-94,A00
-72,-82,-75,-81,-64,-70,-79,-94,A00
-83,-86,-70,-95,-82,-78,-75,-90,A00
-80,-86,-70,-84,-79,-84,-71,-86,A00
-80,-86,-70,-84,-79,-84,-71,-86,A00
-78,-86,-69,-87,-84,-76,-71,-85,A00
-79,-87,-69,-83,-78,-75,-71,-84,A00
-79,-87,-69,-83,-78,-75,-71,-84,A00
-76,-85,-69,-87,-83,-75,-70,-85,A00
-82,-84,-69,-89,-71,-72,-67,-91,A00
-70,-83,-73,-89,-76,-78,-71,-88,A00
-78,-83,-73,-89,-71,-77,-70,-90,A00
-78,-83,-73,-89,-71,-77,-70,-90,A00
-74,-91,-69,-84,-76,-70,-69,-93,A00
-71,-81,-66,-88,-67,-81,-70,-91,A00
-78,-84,-66,-83,-69,-80,-84,-94,A00
-61,-83,-62,-88,-68,-74,-70,-87,A00
-61,-83,-62,-88,-68,-74,-70,-87,A00
-73,-87,-68,-89,-74,-90,-79,-85,A00
-63,-81,-66,-88,-65,-79,-70,-87,A00
-61,-84,-67,-87,-67,-80,-79,-90,A00
-61,-84,-67,-87,-67,-80,-79,-90,A00
-66,-81,-67,-89,-66,-79,-81,-89,A00
-66,-82,-66,-89,-68,-82,-80,-88,A00
-72,-83,-65,-84,-65,-81,-68,-88,A00
-66,-84,-67,-86,-67,-87,-72,-86,A00
-77,-77,-73,-84,-82,-74,-73,-92,A00
-77,-77,-73,-84,-82,-74,-73,-92,A00
-78,-73,-77,-85,-71,-75,-77,-90,A00
-78,-75,-87,-84,-70,-70,-74,-93,A00
-78,-75,-87,-84,-70,-70,-74,-93,A00
-73,-79,-66,-91,-64,-76,-73,-89,A00
-77,-80,-71,-87,-70,-81,-67,-91,A00
-79,-95,-71,-94,-73,-83,-61,-90,A00
-79,-95,-71,-94,-73,-83,-61,-90,A00
-80,-87,-68,-92,-83,-86,-61,-93,A00
-84,-88,-66,-86,-69,-80,-62,-94,A00
-70,-82,-64,-81,-73,-85,-64,-81,A00
-70,-82,-64,-81,-73,-85,-64,-81,A00
-69,-79,-66,-83,-73,-77,-71,-90,A00
-70,-79,-65,-85,-72,-79,-73,-91,A00
-72,-81,-65,-82,-74,-71,-72,-91,A00
-72,-81,-65,-82,-74,-71,-72,-91,A00
-72,-78,-64,-81,-79,-74,-73,-90,A00
-73,-78,-64,-81,-69,-77,-68,-89,A00
-74,-78,-67,-79,-67,-82,-68,-90,A00
-74,-78,-67,-79,-67,-82,-68,-90,A00
-69,-82,-69,-85,-73,-79,-73,-90,A00
-73,-80,-73,-84,-69,-71,-75,-91,A00
-70,-79,-65,-82,-72,-80,-69,-90,A00
-70,-79,-65,-82,-72,-80,-69,-90,A00
-70,-82,-65,-94,-68,-87,-73,-87,A00
-66,-84,-72,-96,-65,-77,-70,-85,A00
-63,-83,-71,-95,-66,-76,-70,-83,A00
