Grid,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8
A1,-81 dBm,-92 dBm,-77 dBm,-92 dBm,-77 dBm,-85 dBm,-74 dBm,-95 dBm
A1,-80 dBm,-87 dBm,-79 dBm,-94 dBm,-88 dBm,-83 dBm,-76 dBm,-92 dBm
A1,-81 dBm,-92 dBm,-77 dBm,-93 dBm,-78 dBm,-84 dBm,-76 dBm,-94 dBm
A1,-79 dBm,-92 dBm,-80 dBm,-94 dBm,-77 dBm,-83 dBm,-74 dBm,-93 dBm
A1,-80 dBm,-91 dBm,-79 dBm,-93 dBm,-79 dBm,-83 dBm,-76 dBm,-96 dBm
A1,-80 dBm,-94 dBm,-77 dBm,-95 dBm,-79 dBm,-85 dBm,-77 dBm,-93 dBm
A1,-78 dBm,-91 dBm,-80 dBm,-92 dBm,-79 dBm,-84 dBm,-79 dBm,-93 dBm
A1,-79 dBm,-93 dBm,-74 dBm,-93 dBm,-81 dBm,-82 dBm,-73 dBm,-92 dBm
A1,-77 dBm,-90 dBm,-74 dBm,-96 dBm,-74 dBm,-85 dBm,-76 dBm,-95 dBm
A1,-79 dBm,-93 dBm,-72 dBm,-93 dBm,-77 dBm,-83 dBm,-79 dBm,-94 dBm
A1,-78 dBm,-91 dBm,-72 dBm,-92 dBm,-75 dBm,-84 dBm,-80 dBm,-93 dBm
A1,-79 dBm,-92 dBm,-74 dBm,-95 dBm,-75 dBm,-85 dBm,-77 dBm,-94 dBm
A1,-77 dBm,-92 dBm,-74 dBm,0,-75 dBm,-84 dBm,-79 dBm,-92 dBm
A1,-78 dBm,-91 dBm,-78 dBm,0,-77 dBm,-85 dBm,-77 dBm,-92 dBm
A1,-80 dBm,-90 dBm,-76 dBm,0,-78 dBm,-82 dBm,-77 dBm,-96 dBm
A1,-81 dBm,-96 dBm,-86 dBm,0,-82 dBm,-83 dBm,-78 dBm,0
A1,-81 dBm,-86 dBm,-81 dBm,0,-73 dBm,-84 dBm,-74 dBm,0
A1,-81 dBm,-89 dBm,-90 dBm,0,-71 dBm,-88 dBm,-71 dBm,0
A1,-82 dBm,-88 dBm,-78 dBm,0,-76 dBm,-88 dBm,-72 dBm,0
A1,-83 dBm,-90 dBm,-74 dBm,0,-75 dBm,-82 dBm,-72 dBm,0
A1,-83 dBm,-90 dBm,-76 dBm,0,-77 dBm,-86 dBm,-70 dBm,0
A1,-81 dBm,-96 dBm,-76 dBm,0,-76 dBm,-80 dBm,-71 dBm,0
A1,-82 dBm,-92 dBm,-74 dBm,0,-79 dBm,-86 dBm,-75 dBm,0
A1,-80 dBm,-91 dBm,-70 dBm,0,-75 dBm,-81 dBm,-75 dBm,0
A1,-81 dBm,-91 dBm,-72 dBm,0,-76 dBm,-85 dBm,-76 dBm,0
A1,-76 dBm,-94 dBm,-73 dBm,0,-77 dBm,-89 dBm,-78 dBm,0
A1,-72 dBm,-94 dBm,-70 dBm,0,-84 dBm,-83 dBm,-85 dBm,0
A1,-77 dBm,-92 dBm,-75 dBm,0,-79 dBm,-84 dBm,-82 dBm,0
A1,-82 dBm,-91 dBm,-76 dBm,0,-77 dBm,-79 dBm,-86 dBm,0
A1,-81 dBm,-95 dBm,-78 dBm,0,-74 dBm,-85 dBm,-82 dBm,0
A1,-81 dBm,-92 dBm,-72 dBm,0,-74 dBm,-83 dBm,-75 dBm,0
A1,-81 dBm,0,-74 dBm,0,-75 dBm,-81 dBm,-76 dBm,0
A1,-80 dBm,0,-74 dBm,0,-73 dBm,-81 dBm,-76 dBm,0
A1,-87 dBm,0,-76 dBm,0,-77 dBm,-83 dBm,-81 dBm,0
A1,-80 dBm,0,-76 dBm,0,-76 dBm,-85 dBm,-81 dBm,0
A2,-79 dBm,-86 dBm,-70 dBm,-89 dBm,-77 dBm,-78 dBm,-69 dBm,-88 dBm
A2,-79 dBm,-83 dBm,-72 dBm,-91 dBm,-77 dBm,-78 dBm,-70 dBm,-87 dBm
A2,-79 dBm,-91 dBm,-71 dBm,-88 dBm,-78 dBm,-79 dBm,-69 dBm,-88 dBm
A2,-79 dBm,-87 dBm,-72 dBm,-90 dBm,-77 dBm,-79 dBm,-70 dBm,-89 dBm
A2,-80 dBm,-87 dBm,-71 dBm,-91 dBm,-84 dBm,-79 dBm,-71 dBm,-89 dBm
A2,-79 dBm,-83 dBm,-70 dBm,-92 dBm,-79 dBm,-79 dBm,-68 dBm,-87 dBm
A2,-76 dBm,-87 dBm,-76 dBm,-91 dBm,-78 dBm,-79 dBm,-71 dBm,-88 dBm
A2,-81 dBm,-86 dBm,-74 dBm,-95 dBm,-77 dBm,-76 dBm,-69 dBm,-87 dBm
A2,-82 dBm,-85 dBm,-74 dBm,-93 dBm,-77 dBm,-79 dBm,-70 dBm,-89 dBm
A2,-79 dBm,-89 dBm,-72 dBm,-90 dBm,-81 dBm,-79 dBm,-68 dBm,-89 dBm
A2,-78 dBm,-87 dBm,-69 dBm,-90 dBm,-83 dBm,-78 dBm,-68 dBm,-88 dBm
A2,-77 dBm,-88 dBm,-72 dBm,-91 dBm,-81 dBm,-82 dBm,-69 dBm,-88 dBm
A2,-78 dBm,-86 dBm,-73 dBm,-88 dBm,-82 dBm,-77 dBm,-69 dBm,-88 dBm
A2,-78 dBm,-86 dBm,-72 dBm,-91 dBm,-81 dBm,-78 dBm,-71 dBm,-87 dBm
A2,-80 dBm,-88 dBm,-71 dBm,-91 dBm,-81 dBm,-78 dBm,-68 dBm,-88 dBm
A2,-80 dBm,-90 dBm,-74 dBm,-90 dBm,-82 dBm,-76 dBm,-71 dBm,-87 dBm
A2,-81 dBm,-87 dBm,-74 dBm,-91 dBm,-83 dBm,-76 dBm,-72 dBm,-89 dBm
A2,-80 dBm,-88 dBm,-74 dBm,-91 dBm,-84 dBm,-79 dBm,-71 dBm,-89 dBm
A2,-78 dBm,-93 dBm,-72 dBm,-89 dBm,-77 dBm,-79 dBm,-69 dBm,-86 dBm
A2,-77 dBm,-87 dBm,-70 dBm,-92 dBm,-75 dBm,-80 dBm,-68 dBm,-87 dBm
A2,-80 dBm,-88 dBm,-70 dBm,-91 dBm,-78 dBm,-83 dBm,-68 dBm,-88 dBm
A2,-79 dBm,-91 dBm,-71 dBm,-92 dBm,-76 dBm,-81 dBm,-69 dBm,-86 dBm
A2,-79 dBm,-86 dBm,-70 dBm,-93 dBm,-73 dBm,-78 dBm,-70 dBm,-88 dBm
A2,-77 dBm,-90 dBm,-72 dBm,-90 dBm,-78 dBm,-81 dBm,-70 dBm,-90 dBm
A2,-80 dBm,-89 dBm,-70 dBm,-90 dBm,-76 dBm,-81 dBm,-67 dBm,-87 dBm
A2,-77 dBm,-88 dBm,-68 dBm,-90 dBm,-76 dBm,-81 dBm,-68 dBm,-89 dBm
A2,-78 dBm,-89 dBm,-72 dBm,-91 dBm,-79 dBm,-81 dBm,-69 dBm,-89 dBm
A2,-79 dBm,-90 dBm,-71 dBm,-91 dBm,-78 dBm,-81 dBm,-68 dBm,-88 dBm
A2,-80 dBm,-88 dBm,-74 dBm,-91 dBm,-85 dBm,-87 dBm,-67 dBm,-90 dBm
A2,-80 dBm,-89 dBm,-72 dBm,-90 dBm,-79 dBm,-77 dBm,-69 dBm,-90 dBm
I1,-80 dBm,-93 dBm,-80 dBm,-92 dBm,-67 dBm,-83 dBm,-82 dBm,-86 dBm
I1,-75 dBm,-92 dBm,-78 dBm,-87 dBm,-76 dBm,-85 dBm,-77 dBm,-91 dBm
I1,-80 dBm,-86 dBm,-79 dBm,-77 dBm,-70 dBm,-83 dBm,-78 dBm,-92 dBm
I1,-79 dBm,-93 dBm,-80 dBm,-82 dBm,-69 dBm,-88 dBm,-78 dBm,-87 dBm
I1,-78 dBm,-90 dBm,-81 dBm,-89 dBm,-66 dBm,-80 dBm,-77 dBm,-86 dBm
I1,-78 dBm,-91 dBm,-79 dBm,-89 dBm,-67 dBm,-82 dBm,-81 dBm,-86 dBm
I1,-81 dBm,-90 dBm,-78 dBm,-88 dBm,-69 dBm,-82 dBm,-76 dBm,-85 dBm
I1,-78 dBm,-93 dBm,-80 dBm,-87 dBm,-67 dBm,-80 dBm,-80 dBm,-89 dBm
I1,-81 dBm,-91 dBm,-80 dBm,-88 dBm,-68 dBm,-82 dBm,-81 dBm,-87 dBm
I1,-80 dBm,-89 dBm,-80 dBm,-87 dBm,-68 dBm,-87 dBm,-81 dBm,-87 dBm
I1,-78 dBm,-90 dBm,-80 dBm,-89 dBm,-69 dBm,-87 dBm,-80 dBm,-87 dBm
